Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
451196231404324,Dr. Rishabh Kumar,Dr. Rishabh Kumar,847,1
580667355135487,Er. Purnima Choudhary,Worddss Infotech,840,8
105005994571862,Nitish Cares,Summit Polcom,837,2
293590417171082,Yashwantraygouda Patil,Yashwantraygouda Patil,816,3
409124055618018,GURU KRIPA,These ads ran without a disclaimer,811,1
203524317201620,Gopal Sharma,Gopal Sharma,807,11
125195557348561,Manish Kumar,Manish Kumar,798,4
677434505611084,Ashok Goel,Ashok Goel,798,2
104357042543925,Manas Jaiswal,Manas Jaiswal,795,3
539895392770201,RAVI JAIN,SWANIT INFOTECH,790,12
524175857610300,Jammu and Kashmir Bank Ltd,Jammu and Kashmir Bank Ltd,778,2
269058706466644,Keshav Payyavula,Keshav Payyavula,776,19
104919512575530,Kujnish Vashisht,Kujnish Vashisht,774,5
108048795658201,Zubair Memon,Zubair Memon,773,2
394145337355359,Prahlad Gunjal,Prahlad Gunjal,765,1
109118788962298,Nagendra Fouzdar Sharma,Nagendra Fouzdar Sharma,760,3
201880540578582,Nishant Yadav,Nishant Yadav,758,6
284384891423919,PGS Global,PGS Global,756,1
1819606268050960,Kamal Dewan,Kamal Dewan,754,4
452259987977551,Apps of Bharat,Apps of Bharat,753,2
369568140191718,Vijayendra Yediyurappa,Vijayendra Yediyurappa,744,1
110794508100598,Kunal Dhawan,Kunal Dhawan,743,1
288538061977822,Rajesh Mundhe,Rajesh Mundhe,739,3
261062340429292,Garvit Singhvi,Garvit Singhvi,738,4
464492236757775,Kalpana Inamdar,These ads ran without a disclaimer,737,4
107686888117430,Ketan Jadhav,Ketan Jadhav,717,6
340631689635731,Akash Singh Sunny,These ads ran without a disclaimer,715,2
206868956312517,Kkssr Ramachandran,Kkssr Ramachandran,713,4
105605609055420,Ramvir Singh Bidhuri,Ramvir Singh Bidhuri,709,1
180220245363765,Chhagan Bhujbal,Outstretch Analytics and Media,704,1
105670635770921,Santosh Kumar Mehta,Santosh Kumar Mehta,703,3
121501814390962,Rakesh Singh,Rakesh Singh,702,3
107388411705279,Maxifluence Technovate,Maxifluence Technovate,694,3
112008980146770,King 360,King 360,693,2
102537269485116,Karun Kaura,Karun kaura,692,4
113533034939339,Bharat K Gupta,Bharat K Gupta,683,2
429197473603981,Shashant Shekhar,Shashant Shekhar,677,4
510796048788406,CM Yuva,SAMADHAN SAMITI,671,4
1966254296805216,Tika Ram Jully,Tika Ram Jully,668,4
198090980676319,Manish Sinha,Manish Sinha,665,13
790060764460702,MLA Meenakshi Singh,MLA Meenakshi Singh,657,9
166119237276964,Shivji Lal Choudhary,Shivji Lal Choudhary,653,5
214224311776721,Mysore Adivasi  Hakki Pikki Herbals,These ads ran without a disclaimer,650,1
112201355112794,Kashyap Sanjeev Srivastwa,Sanjeev Srivastwa,646,3
2461986047380000,Arjun Singh Bhadana,Arjun Singh Bhadana,645,2
1569590583286329,Meghnad Desai Academy of Economics,Meghnad Desai Academy Of Economics,643,2
166291677363551,Cyriac Chazhikadan,Cyriac Chazhikadan,640,1
108864094237011,Sanjay Kumar Ray,Digikalp,639,2
488124631054306,Anbil vibes Trichy,Anbil vibes Trichy,638,3
111276250676310,Pradeep Rai,Pradeep Rai,638,8
122215464206753,Biswajit Mandal,Biswajit Mandal,631,4
2329369950457298,Chetram Kumawat,Chetram Kumawat,629,9
353273898732219,Vasantham K.Karthikeyan,Vasantham K.Karthikeyan,626,3
289896204214520,Sôbha NCR,Sôbha NCR,626,1
221133587758801,Acharya Satvinder,Acharya Satvinder,617,2
2408155096081954,Shri Raghav Gaudham,Shri Raghav Gaudham,616,1
183635768462259,Madan Kaushik,Abhimanyu Singh,612,2
827495487267419,Amin Pathan,Amin Pathan,608,5
178813168851171,Arjun Modhwadia,Arjun Modhwadia,607,3
743418359142684,Bajrangi Prasad Yadav,Bajrangi Prasad Yadav,606,13
1235786446534273,Ajeet Patil Kavhekar,JSPM LATUR,604,2
196016376933415,pawan Kumar Singh Bihari,pawan Kumar Singh Bihari,600,9
493463320510256,Mayur Golwala,Mayur Golwala,599,7
199221869951113,Naishadh Desai,Naishadh Desai,586,1
105763204797843,Sambuddha Dutta Fan's Club,These ads ran without a disclaimer,586,1
163012950423886,Ramesh Chennithala,Ramesh Chennithala,580,2
114161525103222,Dr B L Ranwa Sikar,Dr B L Ranwa Sikar,577,16
1451803608466844,Dr. Shashi Bhushan Mehta,Dr. Shashi Bhushan Mehta,574,1
110120115042838,Ramesh Choudhary,Ramesh Choudhary,567,2
386864694512590,Aditya Solar Solutions,Aditya Solar Solutions,565,1
426868484184031,Vimal Katiyar,Vimal Katiyar,560,1
506552499435414,Mukesh Rajput,Mukesh Rajput,554,1
103205695784211,Vandana Verma,Vandana Verma,554,1
453471765027786,Adireddy Srinivas,politics for impact,549,4
104663008973111,मैं मिथिला हूँ,Summit Polcom,548,1
539439735924252,Jitendra verma,Hope Creative & Branding,546,1
109132461335756,Maddila Gurumoorthy,Maddila Gurumoorthy,542,2
103016597877556,Raushan Kumar,Raushan Kumar,540,1
111238757895487,Jungle Raj - जंगलराज,Jungle Raj - जंगलराज,538,1
106917325366688,Department of Fisheries,Department of Fisheries,535,3
427924417074886,Post Share,School of Politics,533,18
116061908179746,Wave City Ghaziabad,Wave City Ghaziabad,532,1
617446011985451,Aviraj Singh,Aviraj Singh,529,4
